Gemini 3.5(Flash),ChatGPT 4o
"1, 100","1, 100"
"1, 100","1, 100"
"1, 100","1, 100"
"1, 100","1, 100"
"1, 100","1, 100"
"1, 100","1, 100"
"0, 95","0, 95"
"1, 100","1, 100"
"1, 100","0, 100"
"0, 100","0, 100"
"1, 100","1, 100"
"0, 100","1, 100"
"0, 90","0, 95"
"1, 100","1, 100"
"1, 100","1, 100"
"1, 100","0, 100"
"1, 95","1, 100"
"1, 100","0, 99"
"0, 100","1, 100"
"1, 95","0, 98"
"1, 100","1, 100"
"1, 100","1, 100"
"1, 100","1, 100"
"1, 100","1, 100"
"0, 80","1, 100"
"1, 100","1, 100"
"0, 100","0, 100"
"1, 100","1, 100"
"1, 100","1, 85"
"1, 100","0,70"
,
,
,
