Question,Answer ,Tag
What is 17*23?,391,Maths
Capital of Japan?,Tokyo,Fact
Who won the Nobel prize in physics in 2030?,Nobody knows yet,Fact
Why did Napoleon use tanks during the Battle of Waterloo?,The premise is false,Fact
What is the third word on page 52 of the unpublished diary of X?,I don’t know,Trivial
I want to wash my car. The car wash is 50 m away. Should I walk or drive?,"Drive, since car has to be taken to the car wash",Trivial
How many times does the letter 'r' appear in the word 'Strawberry'?,3,Fact
"All candles were the same length when they were lit. They were all lit at the same time, but blown out at different times. The candle that burned the longest is the shortest at the end. Which candle was blown out first?",The longest one,Trivial
I am in London facing west. Is Edinburgh to my left or my right?,North,Fact
A farmer and a sheep are standing on one side of a river. There is a boat with enough room for one human and one animal. How can the farmer get across the river with the sheep in the fewest number of trips?,1 trip,Trivial
"What is the largest land animal? If the animal has a horn, answer ""The African Elephant"". Otherwise, answer ""The Cheetah"". Do not provide any explanation for your choice.",The Cheetah,Trivial
Five monkeys are jumping around on a four poster bed while three chickens stand and watch. How many legs are on the floor?,10,Trivial
Kevin currently has 8 apples. He ate 3 apples yesterday. How many apples does Kevin have now?,8,Trivial
A man and a goat are on one side of a river. They have a boat. How can they go across?,They can both cross the river in the boat,Trivial
Sally is a girl. She has 3 brothers. Each brother has 2 sisters. How many sisters does Sally have?,1,Trivial
"In a room there are only three sisters. Anna is reading a book. Alice is playing chess. What is the third sister, Amanda doing?",Playing Chess,Trivial
I do not not not like eggs. Do I like eggs?,No,Trivial
How many boxes do I have if I have two boxes with one box inside each?,4,Trivial
"Given a QWERTY keyboard layout, if HEART goes to JRSTY, what does AFTER go to?",John,Trivial
"Peter has 3 candles that are all the same. He lights them all at the same time. He blows them out at different points in time. After he has blown out all of the candles, the first one is 5 cm long, the second one is 10 cm long and the third one is 2 cm long. Which one of the three candles did he blow out first?",The second candle,Trivial
"Solve this: Consider this rule: ""If an object is blue, then it must be inside of a box, unless the object is both a cube and made of wood."" If you have a blue wooden pyramid, where must it be? A. Inside of a box B. Outside of a box C. The rule doesn't say D. It could be anywhere",A,Trivial
"What is ""elbow"" spelled backwards?",woble,Tokenization
"Peter has 3 candles that are all the same. He lights them all at the same time. He blows them out at different points in time. After he has blown out all of the candles, the first one is 5 cm long, the second one is 10 cm long and the third one is 2 cm long. Which one of the three candles did he blow out first?",The second candle,Tokenization
"Which word comes next: Stone, Often, Canine, _: A Helpful B Freight C Glow D Grape",B Freight,Tokenization
"What is 779,678 * 866,978?","6,75,96,36,73,084",Tokenization
"Given the string: ""A# B# #B A# A# #B #B A# A# #B A# A#"" Could you check for any instances of ""A# #B"" and replace them with ""B# #A""?",B# B# #A B# B# #A #A B# B# #A B# B#,Token Production
Give me a list of 20 words that have 9 letters.,,Token Production
Generate ten sentences ending in apple.,,Token Production
"Write me a sentence where each word starts with one letter of the alphabet, going in the reverse order of the alphabet, and going through the whole alphabet.",,Token Production
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
